mysql> select distinct
    ->     word_num as w,
    ->     (select count(*) from
    ->             annot
    ->         inner join
    ->             annot_target
    ->         on
    ->             annot.id = annot_target.annot_id
    ->     where
    ->         target.id = annot_target.target_id) as nn
    -> from
    ->     target
    -> order by
    ->     word_num
    -> ;
+--------+------+
| w      | nn   |
|  96361 |    1 |
|  96363 |    1 |
|  96552 |    1 |
|  96553 |    1 |
|  96554 |    1 |
|  96695 |    1 |
|  96696 |    1 |
|  96698 |    1 |
|  97292 |    1 |
|  97306 |    1 |
|  97307 |    1 |
|  97309 |    1 |
|  97659 |    1 |
|  97660 |    1 |
|  97662 |    1 |
|  98342 |    1 |
|  98343 |    1 |
|  98346 |    1 |
|  98776 |    1 |
|  98777 |    1 |
|  98780 |    1 |
|  99037 |    1 |
|  99038 |    1 |
|  99040 |    1 |
|  99260 |    1 |
|  99261 |    1 |
|  99263 |    1 |
| 100363 |    1 |
| 100364 |    1 |
| 100367 |    1 |
| 100567 |    1 |
| 100568 |    1 |
| 100571 |    1 |
| 101505 |    1 |
| 101506 |    1 |
| 101507 |    1 |
| 102218 |    1 |
| 102219 |    1 |
| 102220 |    1 |
| 102365 |    1 |
| 102366 |    1 |
| 102369 |    1 |
| 102980 |    1 |
| 102985 |    1 |
| 102986 |    1 |
| 102988 |    1 |
| 102990 |    1 |
| 102992 |    1 |
| 102994 |    1 |
| 103000 |    1 |
| 103003 |    1 |
| 103006 |    1 |
| 103054 |    1 |
| 103057 |    1 |
| 103058 |    1 |
| 103060 |    1 |
| 103062 |    1 |
| 103064 |    1 |
| 103066 |    1 |
| 103069 |    1 |
| 103072 |    1 |
| 103075 |    1 |
| 103537 |    1 |
| 103538 |    1 |
| 103540 |    1 |
| 103743 |    1 |
| 103747 |    1 |
| 103748 |    1 |
| 103833 |    1 |
| 103834 |    1 |
| 103846 |    1 |
| 103847 |    1 |
| 104164 |    1 |
| 104168 |    1 |
| 107447 |    1 |
| 107448 |    1 |
| 107450 |    1 |
| 107691 |    1 |
| 107704 |    1 |
| 107705 |    1 |
| 107708 |    1 |
| 107814 |    1 |
| 107815 |    1 |
| 107957 |    1 |
| 107958 |    1 |
| 107959 |    1 |
| 107965 |    1 |
| 107966 |    1 |
| 107968 |    1 |
| 108124 |    1 |
| 108125 |    1 |
| 108126 |    1 |
| 108181 |    1 |
| 108182 |    1 |
| 108414 |    1 |
| 108415 |    1 |
| 108418 |    1 |
| 108694 |    1 |
| 108695 |    1 |
| 108698 |    1 |
| 109099 |    1 |
| 109100 |    1 |
| 109101 |    1 |
| 109454 |    1 |
| 109463 |    1 |
| 109699 |    1 |
| 109700 |    1 |
| 109701 |    1 |
| 109945 |    1 |
| 109946 |    1 |
| 109949 |    1 |
| 110169 |    1 |
| 110170 |    1 |
| 110173 |    1 |
| 110225 |    1 |
| 110227 |    1 |
| 110228 |    1 |
| 110414 |    1 |
| 110415 |    1 |
| 110417 |    1 |
| 110514 |    1 |
| 110524 |    1 |
| 110525 |    1 |
| 110919 |    1 |
| 110920 |    1 |
| 110921 |    1 |
| 111296 |    1 |
| 111297 |    1 |
| 111299 |    1 |
| 111309 |    1 |
| 111310 |    1 |
| 111311 |    1 |
| 112324 |    1 |
| 112336 |    1 |
| 112337 |    1 |
| 112374 |    1 |
| 112375 |    1 |
| 112378 |    1 |
| 113324 |    1 |
| 113330 |    1 |
| 113331 |    1 |
| 113549 |    1 |
| 113550 |    1 |
| 113553 |    1 |
| 114359 |    1 |
| 114360 |    1 |
| 114363 |    1 |
| 114436 |    1 |
| 114437 |    1 |
| 114439 |    1 |
| 115045 |    1 |
| 115047 |    1 |
| 115048 |    1 |
| 115249 |    1 |
| 115252 |    1 |
| 115253 |    1 |
| 116125 |    1 |
| 116129 |    1 |
| 116130 |    1 |
| 116208 |    1 |
| 116209 |    1 |
| 116212 |    1 |
| 116608 |    1 |
| 116619 |    1 |
| 116620 |    1 |
| 117052 |    1 |
| 117053 |    1 |
| 117094 |    1 |
| 117235 |    1 |
| 117236 |    1 |
| 117237 |    1 |
| 117465 |    1 |
| 117466 |    1 |
| 117467 |    1 |
| 117889 |    1 |
| 117890 |    1 |
| 117891 |    1 |
| 117892 |    1 |
| 118530 |    1 |
| 118531 |    1 |
| 118630 |    1 |
| 118631 |    1 |
| 118633 |    1 |
| 118655 |    1 |
| 118656 |    1 |
| 118896 |    1 |
| 118897 |    1 |
| 118901 |    1 |
| 118902 |    1 |
| 118908 |    1 |
| 119095 |    1 |
| 119096 |    1 |
| 119097 |    1 |
| 119177 |    1 |
| 119178 |    1 |
| 119179 |    1 |
| 119180 |    1 |
| 119297 |    1 |
| 119298 |    1 |
| 119441 |    1 |
| 119442 |    1 |
| 119443 |    1 |
| 119492 |    1 |
| 119493 |    1 |
| 119494 |    1 |
| 119561 |    1 |
| 119562 |    1 |
| 119563 |    1 |
| 119608 |    1 |
| 119609 |    1 |
| 119610 |    1 |
| 119661 |    1 |
| 119662 |    1 |
| 119663 |    1 |
| 119791 |    1 |
| 119792 |    1 |
| 119793 |    1 |
| 119959 |    1 |
